City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,northam,51.0333,-4.2167,17.44,81,81,4.87,GB,1689879918
293,ventnor,50.5948,-1.2037,19.25,72,100,0.89,GB,1689879918
294,stanthorpe,-28.6667,151.95,5.5,58,0,1.91,AU,1689879919
295,sisimiut,66.9395,-53.6735,10.13,95,100,1.71,GL,1689879399
296,wotje,9.4543,170.2367,28.37,80,100,8.65,MH,1689879920
297,minas de marcona,-15.2119,-75.1103,18.5,59,5,4.35,PE,1689879920
298,kulhudhuffushi,6.6221,73.07,28.37,80,100,7.92,MV,1689879921
299,skoghall,59.3232,13.4655,12.31,94,20,1.54,SE,1689879921
300,noosa heads,-26.3833,153.15,12.41,84,4,4.66,AU,1689879922
301,porteirinha,-15.7433,-43.0283,28.49,31,87,6.83,BR,1689879922
302,kegen,43.0197,79.2203,13.48,65,6,2.44,KZ,1689879923
303,urzhar,47.093,81.6294,21.67,49,0,2.18,KZ,1689879658
304,saint-francois,46.4154,3.9054,24.69,47,0,2.57,FR,1689879435
305,bangkalan,-7.0455,112.7351,21.97,76,5,2.24,ID,1689879924
306,mossel bay,-34.1831,22.146,8.96,67,0,8.2,ZA,1689879480
307,morris,40.8334,-74.5329,29.62,58,75,2.57,US,1689879925
308,kristiansund,63.1115,7.732,15.03,77,75,3.09,NO,1689879926
309,sinop,41.7711,34.8709,19.14,80,0,1.35,TR,1689879926
310,petrovsk-zabaykal'skiy,51.273,108.843,11.43,59,31,1.49,RU,1689879927
311,orenburg,51.7727,55.0988,19.01,61,6,3.41,RU,1689879736
312,alvorada,-12.48,-49.1247,34.35,13,0,4.89,BR,1689879927
313,labinsk,44.6342,40.7356,18.68,54,0,2.34,RU,1689879928
314,ocher,57.8904,54.7202,14.22,89,94,4.04,RU,1689879929
315,kutum,14.2,24.6667,30.05,30,100,2.1,SD,1689879504
316,quillacollo,-17.4,-66.2833,27.04,10,0,1.79,BO,1689879930
317,petauke,-14.2426,31.3253,19.34,36,4,2.52,ZM,1689879931
318,umluj,25.0213,37.2685,32.46,48,0,3.14,SA,1689879932
319,nouadhibou,20.931,-17.0347,22.99,83,8,8.23,MR,1689879932
320,vilyuysk,63.7553,121.6247,14.39,85,10,2.46,RU,1689879933
321,bowen,-20.0167,148.2333,17.93,83,72,3.55,AU,1689879933
322,es castell,39.8795,4.2854,27.38,83,0,2.06,ES,1689879934
323,suva,-18.1416,178.4415,22.71,100,75,2.57,FJ,1689879667
324,touros,-5.1989,-35.4608,27.06,64,24,8.83,BR,1689879935
325,kincardine,56.0667,-3.7167,16.58,77,100,3.48,GB,1689879935
326,igarka,67.4667,86.5833,16.42,98,100,6.04,RU,1689879676
327,al kharijah,25.4514,30.5464,35.67,14,0,3.12,EG,1689879936
328,dalandzadgad,43.5708,104.425,15.77,72,100,4.28,MN,1689879459
329,sandnessjoen,66.0217,12.6316,15.29,82,75,1.03,NO,1689879937
330,razdol'noye,45.7708,33.4878,23.06,76,31,5.24,UA,1689879937
331,dauphin,51.1494,-100.0502,25.08,53,0,3.6,CA,1689879762
332,mount pearl,47.5166,-52.7813,28.19,69,75,9.77,CA,1689879939
333,acarau,-2.8856,-40.12,29.23,55,2,8.55,BR,1689879481
334,kununurra,-15.7667,128.7333,16.99,67,92,2.06,AU,1689879940
335,fort mcmurray,56.7268,-111.381,22.77,60,0,2.57,CA,1689879414
336,povoa de lanhoso,41.5787,-8.282,22.86,69,2,3.71,PT,1689879941
337,pyapon,16.2833,95.6833,24.83,95,100,2.37,MM,1689879941
338,coquimbo,-29.9533,-71.3436,14.85,88,100,6.17,CL,1689879415
339,broome,42.2506,-75.833,29.05,50,100,3.13,US,1689879942
340,menongue,-14.6585,17.691,19.87,26,100,1.17,AO,1689879943
341,kerman,30.2832,57.0788,32.92,15,40,5.14,IR,1689879943
342,muhos,64.808,25.9931,17.88,88,100,1.96,FI,1689879944
343,lianshan,40.7643,120.8533,23.31,72,92,2.37,CN,1689879944
344,mount isa,-20.7333,139.5,19.87,49,75,4.12,AU,1689879944
345,dankalwa,11.7443,12.1867,25.22,71,100,3.98,NG,1689879945
346,kerikeri,-35.2268,173.9474,9.24,94,32,1.15,NZ,1689879423
347,puente alto,-33.6167,-70.5833,16.8,48,75,2.06,CL,1689879750
348,woolgoolga,-30.1106,153.2007,3.93,46,0,1.52,AU,1689879637
349,flying fish cove,-10.4217,105.6791,23.82,78,100,4.63,CX,1689879947
350,guerrero negro,27.9769,-114.0611,25.21,59,13,7.1,MX,1689879177
351,kotido,2.9806,34.1331,22.27,65,66,2.83,UG,1689879947
352,san luis de la loma,17.2706,-100.8939,33.59,56,37,5.48,MX,1689879505
353,east london,-33.0153,27.9116,10.52,76,20,1.54,ZA,1689879671
354,bardai,11.65,7.2333,25.27,75,100,5.25,NG,1689879949
355,slupsk,54.4641,17.0287,14.69,71,78,4.68,PL,1689879949
356,kingsville,27.5159,-97.8561,39.1,49,20,7.2,US,1689879823
357,celle,52.6226,10.0805,20.01,54,40,1.54,DE,1689879867
358,qamdo,31.1667,97.2333,3.56,75,11,1.43,CN,1689879951
